episode,loss,steps,rewards
1,0.48246188324689865,500,-1943.9999999999823
2,0.11922405064105987,500,-1109.0000000000036
3,0.29875925547629595,500,-3115.999999999976
4,0.08318273004889488,500,-1550.9999999999898
5,0.046912103109061715,500,-1550.9999999999898
6,0.02745646319631487,500,-1550.9999999999898
7,0.023293799254810437,500,-1550.9999999999898
8,0.033978031815961006,500,-1550.9999999999898
9,0.011361163666239009,500,-2549.999999999976
10,0.010469497238867916,500,-1550.9999999999898
11,0.3724625017251819,500,-1139.000000000003
12,0.041066223313100635,500,-1552.9999999999898
13,0.02729076103772968,500,-1550.9999999999898
14,0.021213472491595893,500,-1550.9999999999898
15,0.01959203315526247,500,-1550.9999999999898
16,0.016579993826686405,500,-1550.9999999999898
17,0.013748676843475551,500,-1550.9999999999898
18,0.011567916187923402,500,-1550.9999999999898
19,0.010269042813422858,500,-1527.9999999999898
20,0.009401728805998573,500,-1550.9999999999898
21,0.3356360945669003,500,-1246.999999999997
22,0.04867521684744861,500,-1050.0000000000064
23,0.03901150094007608,500,-1049.0000000000066
24,0.025083433804276866,500,-606.0000000000064
25,0.02603786393359769,500,-602.0000000000063
26,0.01240436619182583,500,-692.0000000000082
27,0.025849783164611853,143,-156.19999999999953
28,0.1433502194704488,59,-73.79999999999994
29,0.04640105410816613,500,-587.0000000000058
30,0.018235816692510894,108,-115.69999999999973
31,0.1888286185837351,500,-644.0000000000073
32,0.06212338180327788,500,-564.0000000000053
33,0.04533369214483537,500,-565.0000000000053
34,0.05618949096126016,500,-562.0000000000053
35,0.04252244530135067,500,-565.0000000000053
36,0.019347124100953805,500,-565.0000000000053
37,0.027100902293983382,500,-562.0000000000053
38,0.01530486407346325,500,-564.0000000000053
39,0.029338027389749187,500,-569.0000000000055
40,0.018194824191363295,500,-565.0000000000053
41,0.2126925935642794,500,-570.0000000000056
42,0.09270635623345151,500,-566.0000000000055
43,0.08701589458156377,500,-1116.0000000000039
44,0.0461194344884716,500,-560.0000000000053
45,0.05406097215460613,500,-1125.0000000000034
46,0.12430026887159329,32,-33.10000000000003
47,0.04745252643090983,15,-17.400000000000013
48,0.02310558018223496,41,-43.00000000000004
49,0.031368708114838224,500,-560.0000000000053
50,0.006969541230668815,13,-11.200000000000005
51,0.6306031942367554,10,-7.9
52,0.17819964883569628,500,-1750.999999999989
53,0.0712373313959688,10,-7.9
54,0.04163208082318306,10,-7.9
55,0.04876354113221169,10,-7.9
56,0.13764803918707186,500,-2412.999999999976
57,0.027607304298064926,11,-11.000000000000005
58,0.02552159080425134,13,-20.20000000000001
59,0.03727348921820521,10,-7.9
60,0.022715253243222832,10,-7.9
61,4.9204166531562805,10,-7.9
62,2.8782050877809526,10,-7.9
63,0.46048497408628464,10,-7.9
64,0.5137372314929962,13,-19.20000000000001
65,0.4499150551855564,10,-7.9
66,0.37218415215611456,10,-7.9
67,0.3081253045661883,11,-13.000000000000005
68,0.2362382620573044,10,-7.9
69,0.19623504355549812,10,-7.9
70,0.1664890819652514,11,-9.000000000000002
71,3.64083323876063,12,-11.100000000000003
72,1.4491348385810852,10,-7.9
73,1.300403743982315,10,-7.9
74,0.7737793266773224,10,-7.9
75,1.5812015265226365,10,-7.9
76,0.4396123275160789,10,-7.9
77,0.3734186515212059,11,-11.000000000000005
78,0.2838577849492431,500,-3026.9999999999727
79,0.17177393365234725,76,-206.49999999999972
80,0.11996322167882074,12,-11.100000000000003
81,10.258647724986076,16,-22.500000000000014
82,1.4816235346719622,80,-160.8999999999997
83,0.2042833998799324,10,-7.9
84,0.23321708965115248,500,-2549.999999999976
85,0.11032381672412157,10,-7.9
86,0.06631624512374401,10,-7.9
87,0.025938801001757383,10,-7.9
88,0.07469110594441493,12,-10.100000000000003
89,0.22266195770353078,10,-7.9
90,0.1570209843868559,11,-10.000000000000002
91,2.6073186576366423,10,-7.9
92,0.6177934214472771,10,-7.9
93,1.4934906471859326,11,-10.000000000000002
94,5.5390719175338745,12,-10.100000000000003
95,0.6960782644599676,500,-1188.9999999999995
96,0.1394434499864777,12,-10.100000000000003
97,0.16281312499195338,10,-7.9
98,0.34392901171337475,11,-11.000000000000005
99,0.19405322115529666,11,-13.000000000000005
100,0.3257612843066454,10,-7.9
