episode,loss,steps,rewards
1,0.17346898619830609,500,-2309.9999999999745
2,0.04621217698790133,500,-2454.9999999999764
3,0.04898234912101179,500,-2154.9999999999795
4,0.09930281723290682,500,-1548.9999999999898
5,0.03918691150192171,500,-2022.9999999999818
6,0.018502292439341546,500,-1648.9999999999868
7,0.029300959143089132,500,-1075.0000000000057
8,0.03098065080610104,500,-560.0000000000053
9,0.022863057709997518,500,-1550.9999999999898
10,0.011026766859926283,500,-1550.9999999999898
11,0.2190911169471219,500,-2548.999999999976
12,0.04941651874128729,500,-596.000000000006
13,0.03579469441738911,500,-998.0000000000091
14,0.01991504430398345,500,-560.0000000000053
15,0.024030881491373293,500,-563.0000000000053
16,0.012309707175474614,500,-560.0000000000053
17,0.008971683104638941,500,-562.0000000000053
18,0.00845290400320664,500,-560.0000000000053
19,0.03283462577246246,500,-560.0000000000053
20,0.0046477405793557405,500,-560.0000000000053
21,0.3744671224096023,204,-381.3000000000024
22,0.08989685628531051,116,-266.50000000000006
23,0.040434077297422016,11,-9.000000000000002
24,0.05966575204705198,15,-13.400000000000007
25,0.2005417227919679,48,-49.70000000000005
26,0.08051868006709571,228,-247.6999999999991
27,0.039737456771977334,369,-404.8000000000024
28,0.06507252182730008,500,-564.0000000000053
29,0.026958314660522672,90,-95.89999999999984
30,0.024833677497458535,447,-488.6000000000041
31,1.2236210025314773,28,-27.700000000000024
32,0.3662934468438228,30,-57.9
33,0.1784497737782076,500,-1059.0000000000064
34,0.11904639308340847,79,-83.7999999999999
35,0.12968425390621027,39,-39.80000000000004
36,0.06286254153949106,36,-36.500000000000036
37,0.05432460137416382,74,-78.29999999999993
38,0.07053003444646795,12,-10.100000000000003
39,0.14342671598900447,11,-9.000000000000002
40,0.08205294742694368,23,-22.200000000000017
41,2.4210036841400884,57,-132.5999999999998
42,0.4750319514423609,12,-12.100000000000003
43,0.8403622601181269,16,-20.500000000000007
44,0.5319370374083519,10,-7.9
45,0.4957729255159696,12,-12.100000000000003
46,0.33260013637217606,11,-11.000000000000005
47,0.2683213222771883,12,-17.10000000000001
48,0.31865124466518563,12,-12.100000000000003
49,0.3634507589042187,10,-7.9
50,0.2642852172255516,10,-7.9
51,2.7960126638412475,10,-7.9
52,1.2531446278095246,10,-7.9
53,1.2790164232254029,10,-7.9
54,0.6714279443025589,10,-7.9
55,0.3518039084970951,10,-7.9
56,0.5849372471372286,12,-18.10000000000001
57,0.4072917252779007,10,-7.9
58,0.17285048589110374,10,-7.9
59,0.12536249607801436,10,-7.9
60,0.16189175546169282,10,-7.9
61,0.9036402180790901,16,-26.500000000000014
62,0.4497577458620071,10,-7.9
63,0.8433154333721508,11,-11.000000000000005
64,0.5105559036135674,10,-7.9
65,0.25830031782388685,10,-7.9
66,0.4062731429934502,10,-7.9
67,0.6936513051390648,10,-7.9
68,0.38265368342399597,10,-7.9
69,0.19222778379917144,10,-7.9
70,0.1173924698183934,12,-10.100000000000003
71,3.6799414341266337,13,-20.20000000000001
72,1.0192556083202362,11,-11.000000000000005
73,0.6049950780967871,12,-14.100000000000007
74,0.3554533705115318,10,-7.9
75,0.24981943666934966,10,-7.9
76,0.744513050839305,10,-7.9
77,0.2686689638843139,12,-14.100000000000007
78,0.27759449779987333,10,-7.9
79,0.22452302480285818,11,-9.000000000000002
80,0.16148435976356268,10,-7.9
81,1.6541872382164002,10,-7.9
82,2.933122578420137,19,-35.80000000000002
83,0.644440358877182,10,-7.9
84,0.7399187117815018,10,-7.9
85,1.0465250372886659,10,-7.9
86,0.5289563983678818,10,-7.9
87,0.5620560217648745,10,-7.9
88,1.2748654752969741,10,-7.9
89,0.7436337381601333,10,-7.9
90,0.15976708866655825,10,-7.9
91,0.9187369614839553,10,-7.9
92,0.5879073043664297,12,-14.100000000000007
93,0.7726850298543771,12,-10.100000000000003
94,0.7472199380397797,10,-7.9
95,2.7371333133090627,11,-13.000000000000005
96,0.8947282388806344,10,-7.9
97,2.475017207302153,10,-7.9
98,0.8924967080354691,10,-7.9
99,0.7086561147176417,141,-676.0000000000018
100,0.3865786366164684,10,-7.9
