episode,loss,steps,rewards
1,0.2684843770861626,500,-1175.0000000000016
2,0.029579332888126374,500,-1740.999999999976
3,0.029439380288124085,500,-1962.9999999999804
4,0.02393859389424324,500,-1187.000000000001
5,0.022931738793849944,500,-1837.99999999998
6,0.017503669708967207,500,-1291.9999999999955
7,0.014496533438563346,500,-2549.999999999976
8,0.010445906206965446,500,-2523.999999999976
9,0.029551172852516173,500,-3024.9999999999727
10,0.018403599858283996,500,-2549.999999999976
11,0.1309643312692642,500,-2549.999999999976
12,0.03849304124712944,500,-2916.999999999975
13,0.03682029956579208,500,-1710.9999999999848
14,0.022587278693914414,500,-2549.999999999976
15,0.016393477737903596,500,-1550.9999999999898
16,0.010984200283885002,500,-1312.999999999993
17,0.01069850792735815,500,-1917.999999999978
18,0.007503942169249058,500,-1864.999999999979
19,0.007466765083372593,500,-1572.999999999989
20,0.006290179509669543,500,-2161.9999999999786
21,0.14186760444939137,500,-1873.9999999999811
22,0.042044520139694216,500,-1691.9999999999825
23,0.021486417520791293,500,-2278.999999999976
24,0.0072063526585698125,500,-1550.9999999999898
25,0.0059959785640239715,500,-2549.999999999976
26,0.005235367577522993,500,-1550.9999999999898
27,0.01677069368213415,500,-1550.9999999999898
28,0.00904644851014018,500,-1582.9999999999889
29,0.02214928485825658,500,-1562.9999999999895
30,0.004893224965780973,500,-588.0000000000059
31,0.40420175349712373,500,-1550.9999999999898
32,0.022143345631659032,500,-1147.0000000000025
33,0.012208436608314515,500,-1118.0000000000039
34,0.008210650701075793,500,-1550.9999999999898
35,0.008066808849573136,500,-1441.9999999999898
36,0.011181852184236049,500,-2549.999999999976
37,0.010285695862025022,500,-2049.9999999999814
38,0.009047532312572002,500,-717.0000000000083
39,0.026468155778944492,500,-812.0000000000091
40,0.009765496660023928,500,-1579.9999999999889
41,0.33577108585834503,500,-560.0000000000053
42,0.03056375178694725,500,-652.0000000000075
43,0.012405262388288974,500,-960.0000000000083
44,0.02040010330080986,500,-572.0000000000056
45,0.040537556417286395,500,-1284.9999999999902
46,0.040662701703608035,500,-2549.999999999976
47,0.03981725975871086,500,-668.000000000008
48,0.005811991181224585,500,-1171.9999999999948
49,0.009113894475623965,500,-560.0000000000053
50,0.011666184868663549,500,-594.000000000006
51,0.24608058297634125,500,-1550.9999999999898
52,0.04592844116687775,500,-2467.999999999976
53,0.020283587992191314,500,-623.0000000000067
54,0.013862189656123519,500,-920.0000000000091
55,0.018165066700428726,500,-842.0000000000091
56,0.016067885983735323,500,-620.0000000000067
57,0.019045646101236345,500,-766.0000000000091
58,0.015042038172483445,500,-778.0000000000089
59,0.010103536486625672,500,-870.0000000000091
60,0.00934856502711773,500,-578.0000000000057
61,0.1806988006234169,500,-560.0000000000053
62,0.029623628199100496,500,-2032.9999999999816
63,0.008122081525623798,500,-680.0000000000082
64,0.012371616516262294,500,-560.0000000000053
65,0.01869166359305382,500,-1550.9999999999898
66,0.016032966662198306,500,-620.0000000000067
67,0.014570400971919297,500,-722.0000000000091
68,0.012303118174895645,500,-1539.9999999999898
69,0.029079975843429567,500,-1550.9999999999898
70,0.012647657703608274,500,-928.0000000000091
71,0.43993507786095143,500,-712.0000000000091
72,0.04585413053631782,500,-972.0000000000091
73,0.016852560967206956,500,-828.0000000000082
74,0.020517332330346107,500,-2549.999999999976
75,0.26148548668622973,500,-2478.999999999976
76,0.07093025141954422,500,-1195.9999999999914
77,0.08547742199897766,500,-906.00000000001
78,0.024037157854548206,135,-269.40000000000003
79,0.015148924056440591,500,-568.0000000000055
80,0.02663607232272625,500,-620.0000000000067
81,0.9513622953891754,500,-1236.9999999999975
82,0.1774179894030094,500,-1863.999999999976
83,0.044162081122398375,500,-1042.0000000000068
84,0.03241876470670104,500,-973.0000000000091
85,0.09900677129626274,500,-888.0000000000058
86,0.08086978228390217,500,-584.0000000000058
87,0.11858936557173728,500,-596.000000000006
88,0.043147651441395284,500,-1024.0000000000077
89,0.06775209103524685,500,-1550.9999999999898
90,0.02754379066824913,500,-606.0000000000064
91,1.425464198589325,500,-1292.9999999999945
92,0.24231632524728774,500,-905.0000000000092
93,0.08637366729974746,500,-908.0000000000091
94,0.055962844848632814,500,-880.0000000000091
95,0.02345443343892034,226,-371.50000000000216
96,0.030663884907960893,500,-578.0000000000053
97,0.03090194936096668,500,-784.0000000000091
98,0.0217603447958827,500,-576.0000000000057
99,0.018146950680762528,500,-619.0000000000066
100,0.03271306101232767,500,-2548.999999999976
