episode,loss,steps,rewards
1,,500,-2006.9999999999825
2,,500,-1703.9999999999848
3,,500,-2049.9999999999814
4,,500,-1080.0000000000055
5,,500,-1070.000000000006
6,,500,-2549.999999999976
7,,500,-1121.0000000000036
8,,500,-1550.9999999999898
9,,500,-1550.9999999999898
10,,500,-1550.9999999999898
11,,500,-1550.9999999999898
12,,500,-1101.0000000000045
13,,500,-1550.9999999999898
14,,500,-1152.0000000000023
15,,500,-1550.9999999999898
16,,500,-1550.9999999999898
17,,500,-1550.9999999999898
18,,500,-1550.9999999999898
19,,500,-1550.9999999999898
20,,500,-1550.9999999999898
21,,500,-2549.999999999976
22,,500,-1550.9999999999898
23,,500,-1964.999999999983
24,,500,-1220.9999999999984
25,,500,-1550.9999999999898
26,,500,-1598.999999999983
27,,500,-1552.9999999999898
28,,500,-1533.9999999999898
29,,500,-1212.999999999999
30,,500,-1108.000000000004
31,,500,-1144.0000000000025
32,,500,-1550.9999999999898
33,,500,-1550.9999999999898
34,,500,-1550.9999999999898
35,,500,-1117.0000000000039
36,,500,-1550.9999999999898
37,,500,-1550.9999999999898
38,,500,-1550.9999999999898
39,,500,-1550.9999999999898
40,,500,-1550.9999999999898
41,,500,-1727.9999999999895
42,,500,-1736.9999999999893
43,,500,-1550.9999999999898
44,,500,-1525.9999999999898
45,,500,-1686.9999999999877
46,,500,-2020.9999999999818
47,,500,-1590.9999999999884
48,,500,-1550.9999999999898
49,,500,-1550.9999999999898
50,,500,-1550.9999999999898
51,,500,-1551.9999999999898
52,,500,-1550.9999999999898
53,,500,-1550.9999999999898
54,,500,-1550.9999999999898
55,,500,-1550.9999999999898
56,,500,-1150.0000000000023
57,,500,-1690.9999999999848
58,,500,-1550.9999999999898
59,,500,-2004.9999999999823
60,,500,-1550.9999999999898
61,,500,-1550.9999999999898
62,,500,-1550.9999999999898
63,,500,-2010.999999999982
64,,500,-1550.9999999999898
65,,500,-1552.9999999999898
66,,500,-1551.9999999999898
67,,500,-1551.9999999999898
68,,500,-1552.9999999999898
69,,500,-1550.9999999999898
70,,500,-1550.9999999999898
71,,500,-1969.999999999983
72,,500,-1161.0000000000016
73,,500,-1881.9999999999852
74,,500,-1550.9999999999898
75,,500,-1255.9999999999966
76,,500,-1077.0000000000055
77,,500,-1552.9999999999898
78,,500,-1550.9999999999898
79,,500,-1550.9999999999898
80,,500,-1968.999999999983
81,,500,-1552.9999999999898
82,,500,-1550.9999999999898
83,,500,-1550.9999999999898
84,,500,-1550.9999999999898
85,,500,-1550.9999999999898
86,,500,-1740.9999999999832
87,,500,-1550.9999999999898
88,,500,-1550.9999999999898
89,,500,-2049.9999999999814
90,,500,-2549.999999999976
91,,500,-1550.9999999999898
92,,500,-1337.9999999999923
93,,500,-2049.9999999999814
94,,500,-1095.0000000000048
95,,500,-2049.9999999999814
96,,500,-1550.9999999999898
97,,500,-1550.9999999999898
98,,500,-1550.9999999999898
99,,500,-1449.9999999999898
100,,500,-2549.999999999976
