episode,loss,steps,rewards
1,0.4549574516415596,500,-1865.999999999979
2,0.09697373826336116,500,-1970.9999999999839
3,0.06909386831591838,500,-1148.0000000000027
4,0.06650499509758938,500,-2549.999999999976
5,0.004391602576194387,500,-1552.9999999999898
6,0.023605271266023763,500,-2549.999999999976
7,2.2577454753772874e-05,500,-2549.999999999976
8,1.2420652037105018e-05,500,-2549.999999999976
9,8.06167127625389e-05,500,-2549.999999999976
10,5.667720007037636e-07,500,-2549.999999999976
11,0.25974306052791385,500,-2549.999999999976
12,0.01212169023556417,500,-2049.9999999999814
13,0.05132081345714078,500,-2068.999999999981
14,0.013934757906139992,500,-1561.9999999999895
15,0.012614911873584888,500,-2549.999999999976
16,0.005263036385121851,500,-1550.9999999999898
17,0.001264244298298685,500,-1550.9999999999898
18,0.002716754458690474,500,-2049.9999999999814
19,0.0200098246413164,500,-1550.9999999999898
20,0.027581370821923305,500,-1550.9999999999898
21,0.06302796522492429,500,-1550.9999999999898
22,0.018129789719085524,500,-1550.9999999999898
23,0.033733574308301255,500,-1552.9999999999898
24,0.0956375951558009,500,-2011.9999999999811
25,0.04877296332091714,500,-1988.9999999999802
26,0.04150747523827971,500,-1223.9999999999982
27,0.008027100017794893,500,-1550.9999999999898
28,0.007491606146227014,500,-1077.0000000000055
29,0.005900348574456813,500,-1552.9999999999898
30,0.026460300326065406,500,-1550.9999999999898
31,0.10657157652163711,500,-1550.9999999999898
32,0.011654820802325445,500,-1570.9999999999893
33,0.08785530581985578,500,-1149.0000000000023
34,0.00523743942199161,500,-1550.9999999999898
35,0.008541499002025233,500,-1302.999999999994
36,0.0021254835111295875,500,-1070.000000000006
37,0.0038737123127230147,500,-1550.9999999999898
38,0.0018593519539712134,500,-1173.0000000000011
39,0.08262186868939721,500,-1100.000000000005
40,0.002053132447416374,500,-1550.9999999999898
41,0.20516275978075696,500,-1079.0000000000055
42,1.3855927216700323,500,-2048.999999999976
43,0.00832577016158723,500,-1580.9999999999889
44,0.02194685727417982,500,-945.0000000000068
45,0.6949022910746203,500,-1973.999999999976
46,0.024511822753770503,500,-1184.9999999999934
47,0.017594001089808145,500,-597.0000000000061
48,0.021916511813206637,374,-481.3000000000041
49,0.3497076827953382,500,-1550.9999999999898
50,0.006907978918114281,500,-1187.0000000000002
51,0.1284296665659495,500,-1550.9999999999898
52,0.11689977380819125,500,-1550.9999999999898
53,0.31975462226020884,500,-1983.9999999999802
54,0.27365445803199595,222,-388.1000000000026
55,0.6820349076757349,489,-1054.800000000005
56,3.4384714045347646,500,-2725.999999999976
57,0.4603551429983841,500,-2988.9999999999736
58,0.07282701248391185,500,-1406.9999999999877
59,0.21996694633516564,500,-2186.9999999999777
60,0.2734300893876025,500,-2200.9999999999773
61,0.2382348437320806,500,-2044.9999999999786
62,0.21550945845893757,500,-2185.9999999999777
63,0.04147055120037658,500,-857.0000000000091
64,0.03599894223607146,500,-1634.9999999999875
65,0.08217381997222346,500,-982.0000000000091
66,0.10973824039517467,500,-2068.999999999981
67,0.008215165205840265,500,-1560.9999999999895
68,0.0024753399065602934,500,-1550.9999999999898
69,0.00034270365400294623,500,-1550.9999999999898
70,0.0003368336782853589,500,-1550.9999999999898
71,2.109790373759084,500,-2903.999999999975
72,0.13985039552567127,500,-919.0000000000091
73,3.60275128916229,500,-2421.999999999976
74,0.04683890984582649,500,-906.0000000000091
75,0.01755414502558483,500,-1065.0000000000061
76,0.02486668591392521,500,-592.0000000000059
77,0.013817952825613076,500,-732.0000000000091
78,0.004808595653354984,500,-566.0000000000055
79,0.004604208361224295,500,-718.0000000000091
80,0.03023411455791407,500,-977.0000000000072
81,0.22922082198783755,138,-406.70000000000095
82,1.1481342946576094,402,-1087.0999999999997
83,3.0300839543240143,500,-1814.999999999978
84,0.03231930390634316,249,-285.7999999999999
85,0.3103438556831184,188,-469.70000000000203
86,0.23265412285168102,69,-72.79999999999995
87,0.08242280206953485,12,-15.100000000000007
88,0.1059314798225056,11,-9.000000000000002
89,0.09435351751744747,12,-14.100000000000007
90,0.3508570830648144,12,-14.100000000000007
91,5.796596182020087,38,-63.69999999999998
92,0.37555557628702213,119,-236.79999999999953
93,0.0834973467513919,10,-7.9
94,0.06010415405035019,10,-7.9
95,3.3213728437054515,500,-2196.9999999999777
96,2.634653399251103,500,-2258.999999999976
97,0.5519349655383267,500,-2377.999999999978
98,1.8036948577392613,500,-2839.999999999976
99,1.3210953254282358,500,-2548.999999999976
100,0.18606810930264328,500,-2136.999999999979
