episode,loss,steps,rewards
1,0.24298376931250096,500,-2066.9999999999814
2,0.1674015021212399,500,-1898.9999999999825
3,0.1097818684997037,500,-1364.9999999999914
4,0.04876976714143529,500,-2144.999999999979
5,0.02841157736623063,500,-1548.999999999987
6,0.016696198173136053,500,-2049.9999999999814
7,0.01159289340476759,500,-1551.9999999999814
8,0.0012747270661800484,500,-2049.9999999999814
9,6.497326557193023e-05,500,-2052.9999999999814
10,0.005370306029399852,500,-2049.9999999999814
11,0.1358442185795284,500,-2497.999999999977
12,0.017206116865738294,500,-2049.9999999999814
13,0.0632292306671734,500,-1502.999999999988
14,0.02581552982793073,500,-1238.999999999998
15,0.0025105562360843124,500,-1057.0000000000064
16,0.017336438014714076,500,-1278.999999999996
17,0.0624143870682783,500,-2029.999999999976
18,0.02742730411685204,500,-2049.9999999999814
19,0.0011908268690846739,500,-1412.9999999999886
20,0.002500139844358273,500,-1226.9999999999986
21,0.11241303401935147,500,-1103.0000000000045
22,0.09664222860880545,500,-1483.9999999999927
23,0.0013020889916913348,500,-1057.0000000000064
24,0.007377137275747373,500,-1558.9999999999895
25,0.006615713277846112,500,-1550.9999999999898
26,0.027899932284777607,500,-1550.9999999999898
27,0.021846653633459938,500,-2272.999999999976
28,0.07084677697034931,500,-1558.9999999999895
29,0.0030879389318843094,500,-1550.9999999999898
30,0.016146341327396327,500,-1550.9999999999898
31,0.12238221774579142,500,-1551.9999999999898
32,0.0020654571824434242,500,-1550.9999999999898
33,0.10566136230813572,500,-890.0000000000073
34,0.14378658514178824,500,-1270.9999999999966
35,0.04486108740391687,195,-536.4000000000023
36,0.36056955847916256,215,-283.3999999999999
37,0.6075172452291904,195,-577.4000000000021
38,0.25861493171637034,251,-755.0000000000034
39,0.052150837025575096,31,-72.99999999999997
40,0.00587592015667633,500,-1550.9999999999898
41,0.3418904972129676,500,-1550.9999999999898
42,0.1681021134534276,500,-1550.9999999999898
43,0.1359698660345748,500,-1550.9999999999898
44,0.1581880886992185,500,-1557.9999999999895
45,0.26794812474644275,500,-1504.999999999987
46,0.0639538237999659,500,-1552.9999999999898
47,0.16514388018510362,500,-1550.9999999999898
48,0.0026354065679524865,500,-1550.9999999999898
49,0.04781024269764566,500,-984.0000000000091
50,0.11314124175606412,500,-1223.9999999999966
51,0.365971168242977,500,-1912.999999999981
52,0.4451600513795274,500,-1551.9999999999898
53,0.7981795668925624,500,-2549.999999999976
54,0.16497165753156878,500,-2549.999999999976
55,0.17829210676063667,500,-2049.9999999999814
56,0.7456791724753129,500,-2546.999999999976
57,0.030365085225348594,500,-1079.0000000000055
58,0.013544612103723921,500,-1179.0000000000014
59,0.033987464033103605,500,-1550.9999999999898
60,0.05890169754290309,500,-1550.9999999999898
61,0.16937347619351203,500,-1551.9999999999898
62,0.0006762085214122635,500,-1550.9999999999898
63,0.0007997572447948186,500,-1550.9999999999898
64,0.0007704009331455949,500,-1550.9999999999898
65,0.04465131046537863,500,-1550.9999999999898
66,0.7354882503426051,500,-1755.999999999976
67,0.01808106960823409,500,-1107.0000000000043
68,0.0037690590927013544,500,-1550.9999999999898
69,0.000978646652597945,500,-1550.9999999999898
70,0.17719084078747982,500,-1550.9999999999898
71,0.3333338072691131,500,-1076.0000000000057
72,0.004730417923607433,500,-1061.0000000000061
73,5.540441275992691e-05,500,-1057.0000000000064
74,2.73929019479624e-06,500,-1057.0000000000064
75,0.00016541551976405344,500,-1057.0000000000064
76,0.10540731112113315,500,-1550.9999999999898
77,0.6063972408990957,500,-1058.0000000000064
78,0.0020848814668285058,500,-1059.0000000000064
79,0.0004120166123983182,500,-1057.0000000000064
80,0.001342280306715793,500,-1059.0000000000064
81,0.03376825695508524,500,-1059.0000000000064
82,0.022598305117408016,500,-1068.0000000000052
83,0.004061807810764549,500,-1057.0000000000064
84,5.562904444786909e-06,500,-1057.0000000000064
85,4.3490878653074106e-07,500,-1057.0000000000064
86,2.2305568616559414e-05,500,-1057.0000000000064
87,0.00016104651783444978,500,-1057.0000000000064
88,0.000167924539841124,500,-1057.0000000000064
89,0.0022818946124255036,500,-1057.0000000000064
90,6.162882786497903e-07,500,-1057.0000000000064
91,0.03305419038083983,500,-1059.0000000000064
92,0.00023984196402517454,500,-1058.0000000000064
93,0.00037822033172983535,500,-1058.0000000000064
94,0.0005819725673945868,500,-1059.0000000000064
95,0.00019621456098707312,500,-1057.0000000000064
96,0.0026444765737203397,500,-926.0000000000082
97,0.0023707546178227405,500,-1058.0000000000064
98,5.7111874337067546e-05,500,-1058.0000000000064
99,0.0065482028298054044,500,-892.0000000000082
100,0.001230414713917753,500,-1057.0000000000064
